image1,image2,label
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Socks/B0000ZFIF2/B0000ZFIF2_4.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Socks/B00008AASS/B00008AASS_0.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/underwear/B00009MFB9/B00009MFB9_0.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/underwear/B000A130BA/B000A130BA_0.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Jewelry/B00099/B00099YFSU_1.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Jewelry/B000B5GQKC/B000B5GQKC_0.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Jackets/7890000707/7890000707_0.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Jackets/8198319301/8198319301_0.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Jewelry/B000B6S0ZK/B000B6S0ZK_5.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Jewelry/B000302AOG/B000302AOG_0.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Case/B0116Q/B011C0F1WI_3.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Case/B00XD7/B00XD76ALU_0.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Shoes/B0007T5QJO/B0007T5QJO_0.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Shoes/B0007T9CSA/B0007T9CSA_3.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Bags/B01AJP/B01AJPBCHA_2.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Bags/B016GN/B016KD9GUU_2.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Pants/B0002OQCJW/B0002OQCJW_0.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Pants/B00091SRXW/B00091SRXW_9.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Case/B00H2V/B00H3BN6TG_0.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Case/B01121/B0115SEZS8_0.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Sweaters/B00RB0/B00RB0O3QY_1.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Sweaters/B017L5/B017SCPX3Q_0.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Shirts/B00L7BY8H2/B00L7BY8H2_2.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Shirts/B01AD2/B01AEB02XY_0.jpg,different
