image1,image2,label
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Pants/B0006TYEIO/B0006TYEIO_5.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Pants/B00RZU/B00RZU1FAW_3.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Wallets/B00008MZQW/B00008MZQW_3.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Wallets/B000078OVX/B000078OVX_0.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Dresses/B01HEN3B7Y/B01HEN3B7Y_3.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Dresses/B01B5VQUB0/B01B5VQUB0_0.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Toothbrush/B00OPZ/B00PK1T1WW_2.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Toothbrush/B01CTK/B01D96KPBA_0.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Jackets/B0009KO9OO/B0009KO9OO_0.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Jackets/8201321227/8201321227_1.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Pants/B000234VKA/B000234VKA_25.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Pants/B0002Y3L6Y/B0002Y3L6Y_4.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Shoes/B0000E02V7/B0000E02V7_9.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Shoes/B0006ONU9S/B0006ONU9S_2.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Nail/B018E0/B018FZHB80_5.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Nail/B00D2I/B00D2I3YGE_0.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Bags/B00QD5/B00QK12LF0_0.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Bags/B01BK0/B01BLTMMA4_0.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Shorts/B0009GGUQ8/B0009GGUQ8_0.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Shorts/B00091T0N8/B00091T0N8_1.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Gloves/B000B6/B000B6B836_4.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Gloves/B00067MDOS/B00067MDOS_5.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Hats/B0002ZG5AW/B0002ZG5AW_1.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Hats/B00067OI96/B00067OI96_1.jpg,different
