image1,image2,label
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Glasses_sorted/B00CBCJURO/B00CBCJURO_0.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Glasses_sorted/B017ALMGQM/B017ALMGQM_2.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Jeans/B000A2KE3G/B000A2KE3G_1.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Jeans/B00091/B00091SSU4_1.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Scarves/B000BR/B000BTAF4Q_1.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Scarves/B0006TNP2A/B0006TNP2A_1.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Lotion/B014ME/B014MEEO38_0.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Lotion/B00016/B000CST4H0_0.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Shirts/B0177VJS9I/B0177VJS9I_1.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Shirts/B00GQSE38A/B00GQSE38A_3.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Shaver/B001CS/B001CS2JEO_0.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Shaver/B0009M/B000B16AVQ_0.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Skincare/B00DQV/B00DV4288E_0.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Skincare/B01GQA/B01GQA7J8S_4.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/underwear/B00066T1VM/B00066T1VM_1.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/underwear/B00015HKB6/B00015HKB6_0.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Backpacks/B00097DYSE/B00097DYSE_2.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Backpacks/B0001F31K0/B0001F31K0_4.jpg,different
/c/Users/sorou/Desktop/SeniorDesign/Datasets/Tiara/B00OOI/B00OTIN6A0_2.jpg,/c/Users/sorou/Desktop/SeniorDesign/Datasets/Tiara/B01BKZ/B01BZWQ2OE_2.jpg,different
